ID,Name,Department,Year of Study,Bio Description,Interests,Skills (Top 5),Latest Achievement,Availability,Clubs
22215078,Nicholas Henry,AI DS,4,Creative Team player Hardworking Problem solver Team player,"Web Development, Machine Learning, Gaming, Deep Learning","HTML, CSS, Keras, Python, C++",Published Research Paper,Yes,Researchers and Innovators
22217836,Erika Goodman,Mechanical,1,Hardworking Team player Problem solver Passionate Hardworking,"Blockchain, Gaming","App Dev, HTML, SQL, Web Dev, CSS",Published Research Paper,No,EDC
22211504,James Stevens,Electronics,3,Hardworking Passionate Creative Innovative Hardworking,"Gaming, Machine Learning, Robotics, AI","App Dev, C++, Kotlin, React, Web Dev",Interned at XYZ,Yes,Avishkar VIIT
22219706,Chad Reed,Computer Science,1,Creative Passionate Analytical Problem solver Motivated,"Art, Gaming, Web Development","Flask, C++, Java, Web Dev, Keras",Won Hackathon,Yes,Researchers and Innovators
22211177,Patricia Mcgee,IT,2,Team player Analytical Analytical Innovative Team player,"Sports, Web Development, Deep Learning, Art","HTML, CSS, FLutter, App Dev, TensorFlow",Completed AI Project,Yes,Hackathon VIIT
22214923,Aaron Smith,Civil,4,Team player Passionate Problem solver Analytical Analytical,"Robotics, Art, AI","React, Django, Kotlin, SQL, CSS",Built Startup Prototype,No,GDSC
22218398,Melissa West,IT,1,Problem solver Creative Passionate Motivated Problem solver,"Web Development, Robotics","Kotlin, HTML, TensorFlow, FLutter, Python",Built Startup Prototype,Yes,I2IC
22218766,Vicki Mcdonald DVM,Electronics,3,Problem solver Passionate Creative Creative Passionate,"Music, Blockchain","Django, SQL, Python, TensorFlow, C++",Interned at XYZ,Yes,I2IC
22212485,James Williamson,AI DS,3,Problem solver Passionate Passionate Team player Problem solver,"Art, Web Development, Sports","Flask, FLutter, Kotlin, Java, React",Built Startup Prototype,Yes,Hackathon VIIT
22215910,Eric White,Mechanical,2,Team player Problem solver Creative Hardworking Motivated,"Deep Learning, Gaming, Art, Music","HTML, JavaScript, C++, Flask, Java",Built Startup Prototype,Yes,Researchers and Innovators
22214557,Michael Dorsey,Computer Science,4,Innovative Motivated Motivated Team player Motivated,"Sports, Web Development, Blockchain","Keras, Web Dev, App Dev, Flask, React",Completed AI Project,Yes,Hackathon VIIT
22217776,Valerie Edwards,Mechanical,2,Innovative Innovative Passionate Creative Problem solver,"AI, Robotics, Web Development","Java, Kotlin, Web Dev, C++, React",Built Startup Prototype,Yes,I2IC
22212360,Jenna Chang,CSE AI,1,Innovative Innovative Problem solver Analytical Analytical,"Deep Learning, Machine Learning, Art","JavaScript, HTML, CSS, SQL, FLutter",Published Research Paper,No,Cisco VIIT
22218055,Amy Ray,Civil,2,Creative Team player Team player Passionate Team player,"Sports, Gaming, Blockchain","C++, JavaScript, App Dev, SQL, FLutter",Interned at XYZ,Yes,Hackathon VIIT
22214037,Ryan Jordan,AI ML,1,Innovative Hardworking Problem solver Creative Problem solver,"Robotics, Deep Learning","FLutter, Web Dev, App Dev, Java, Django",Won Hackathon,Yes,Robotics
22217813,Melissa Riggs,AI ML,1,Team player Motivated Creative Problem solver Team player,"Blockchain, Web Development, Music, Gaming","Web Dev, Flask, SQL, C++, HTML",Won Hackathon,Yes,I2IC
22211393,Samuel Keller,CSE AI,4,Problem solver Hardworking Creative Hardworking Problem solver,"Music, AI, Deep Learning, Sports","Java, Django, C++, Flask, React",Interned at XYZ,No,Cisco VIIT
22216104,Wesley Sandoval,Computer Science,3,Passionate Hardworking Hardworking Team player Hardworking,"Sports, AI, Web Development, Robotics","CSS, FLutter, Django, Web Dev, Python",Won Hackathon,Yes,Researchers and Innovators
22213356,Jason Ramos,AI ML,4,Problem solver Innovative Creative Passionate Innovative,"Deep Learning, Robotics","Django, Keras, Flask, Web Dev, HTML",Completed AI Project,No,GDSC
22214645,Bradley Kelly,Civil,1,Motivated Innovative Analytical Problem solver Motivated,"Art, Sports, AI","SQL, Web Dev, HTML, Java, CSS",Completed AI Project,No,Avishkar VIIT
22214933,Stephanie White,Civil,2,Innovative Passionate Creative Innovative Analytical,"Web Development, Art","FLutter, Flask, React, CSS, Keras",Completed AI Project,No,I2IC
22211840,Leonard Vazquez,CSE AI,1,Problem solver Team player Problem solver Passionate Innovative,"Robotics, Blockchain, Gaming","Python, React, Keras, Flask, Java",Built Startup Prototype,Yes,I2IC
22212141,Michelle Wilson,Civil,4,Analytical Problem solver Innovative Motivated Innovative,"AI, Web Development","CSS, Kotlin, HTML, Django, FLutter",Published Research Paper,Yes,CyberCELL
22218702,Jared Collins,AI DS,3,Motivated Creative Team player Motivated Innovative,"Machine Learning, Sports","React, FLutter, TensorFlow, Flask, JavaScript",Completed AI Project,Yes,Hackathon VIIT
22217465,Emily Williams,Electronics,4,Innovative Creative Innovative Motivated Analytical,"Music, Machine Learning, Deep Learning","Java, Kotlin, Flask, CSS, SQL",Built Startup Prototype,Yes,Avishkar VIIT
22211473,Matthew Tate,Computer Science,3,Innovative Motivated Team player Problem solver Analytical,"Sports, Robotics","FLutter, Java, Python, Django, Flask",Built Startup Prototype,No,Avishkar VIIT
22219195,Tyler Obrien,Electronics,4,Problem solver Analytical Problem solver Problem solver Problem solver,"AI, Blockchain","C++, FLutter, SQL, Kotlin, HTML",Built Startup Prototype,No,Cisco VIIT
22218922,Barry Jones,IT,1,Analytical Motivated Hardworking Creative Hardworking,"Blockchain, Machine Learning, Robotics, Deep Learning","React, Keras, JavaScript, App Dev, Java",Interned at XYZ,Yes,GFG
22211068,Robert Smith,Civil,2,Team player Problem solver Innovative Analytical Passionate,"Robotics, AI, Web Development, Deep Learning","JavaScript, CSS, Django, App Dev, Web Dev",Published Research Paper,No,Cisco VIIT
22216332,Felicia George,Electronics,2,Motivated Creative Innovative Motivated Creative,"Deep Learning, Robotics, Art, AI","App Dev, CSS, SQL, Python, FLutter",Interned at XYZ,Yes,I2IC
22214544,Leah Johnson,AI ML,2,Team player Problem solver Motivated Creative Team player,"Deep Learning, Robotics","App Dev, Keras, Django, Python, Java",Built Startup Prototype,Yes,Avishkar VIIT
22213544,Tina Griffin,AI DS,1,Team player Analytical Hardworking Problem solver Hardworking,"Web Development, Deep Learning, Gaming, AI","Kotlin, SQL, React, FLutter, Django",Won Hackathon,No,Researchers and Innovators
22219821,Kimberly Turner,Civil,4,Motivated Innovative Hardworking Analytical Team player,"Blockchain, Gaming","Kotlin, TensorFlow, CSS, FLutter, Web Dev",Won Hackathon,No,GFG
22219509,Austin Green,CSE AI,2,Problem solver Creative Innovative Passionate Passionate,"Gaming, Robotics","Java, App Dev, FLutter, HTML, Web Dev",Completed AI Project,Yes,GFG
22217221,Sandra Sullivan,Computer Science,1,Motivated Team player Creative Analytical Analytical,"Deep Learning, Blockchain, Sports, Art","CSS, Flask, Kotlin, FLutter, React",Published Research Paper,Yes,GFG
22217189,Brian Smith,Electronics,4,Passionate Passionate Hardworking Team player Passionate,"Sports, Art, AI, Music","App Dev, Web Dev, React, CSS, C++",Interned at XYZ,No,I2IC
22219813,Leah Cox,CSE AI,2,Team player Problem solver Creative Creative Analytical,"Deep Learning, Web Development","App Dev, Django, FLutter, Python, JavaScript",Interned at XYZ,No,I2IC
22216552,Patrick Sanders,Electronics,1,Analytical Motivated Problem solver Creative Analytical,"Sports, Machine Learning, AI","HTML, Web Dev, Flask, React, SQL",Completed AI Project,No,I2IC
22212074,Valerie Smith,Mechanical,3,Hardworking Problem solver Motivated Passionate Innovative,"Deep Learning, Blockchain, Art","CSS, Kotlin, Java, Keras, Python",Published Research Paper,No,GFG
22218555,Terry Mcdonald,AI DS,3,Motivated Problem solver Creative Analytical Problem solver,"Deep Learning, Music, Sports, Web Development","TensorFlow, FLutter, SQL, CSS, Kotlin",Published Research Paper,Yes,Hackathon VIIT
22211627,Eric Watson,Electronics,3,Analytical Creative Problem solver Hardworking Team player,"Gaming, Blockchain, Music","Python, JavaScript, Flask, Django, FLutter",Built Startup Prototype,Yes,GFG
22218241,Paul Allen,AI ML,3,Problem solver Hardworking Passionate Problem solver Creative,"Web Development, Blockchain","CSS, C++, App Dev, Django, Python",Built Startup Prototype,Yes,EDC
22217789,Wyatt Alvarez,AI ML,3,Passionate Creative Team player Analytical Innovative,"Music, AI, Machine Learning","Web Dev, FLutter, App Dev, TensorFlow, Flask",Won Hackathon,Yes,EDC
22217095,Jerry Barker,Electronics,1,Problem solver Hardworking Hardworking Hardworking Team player,"AI, Blockchain","FLutter, Java, Kotlin, Keras, CSS",Completed AI Project,No,Hackathon VIIT
22213542,Patrick Sullivan,CSE AI,1,Innovative Hardworking Creative Team player Hardworking,"Music, Web Development, Machine Learning, AI","Kotlin, React, SQL, C++, CSS",Won Hackathon,Yes,Hackathon VIIT
22212733,Michael Jacobs,AI DS,2,Team player Analytical Passionate Innovative Problem solver,"AI, Music, Sports, Blockchain","Java, Kotlin, TensorFlow, SQL, Python",Completed AI Project,No,Cisco VIIT
22218560,Madison Garcia,CSE AI,2,Problem solver Passionate Motivated Innovative Innovative,"Music, Robotics","React, Java, HTML, C++, Python",Won Hackathon,No,Robotics
22217814,Kimberly Mcclain,Civil,2,Passionate Hardworking Problem solver Passionate Motivated,"Robotics, Deep Learning","HTML, CSS, C++, JavaScript, Python",Published Research Paper,No,Cisco VIIT
22213950,Mr. Mark Wolf Jr.,AI ML,1,Hardworking Analytical Innovative Hardworking Creative,"Gaming, Machine Learning, Art","Flask, SQL, Python, Web Dev, Django",Published Research Paper,No,Avishkar VIIT
22212949,Brittany Mendoza,AI DS,3,Passionate Passionate Innovative Team player Motivated,"Sports, Blockchain, Music, Web Development","Kotlin, Python, SQL, Keras, React",Completed AI Project,No,Hackathon VIIT
22211142,Raymond Everett,Electronics,1,Innovative Motivated Problem solver Problem solver Hardworking,"Robotics, Web Development, Art","Python, Java, SQL, Flask, FLutter",Published Research Paper,Yes,Robotics
22216575,Monica Ramirez,Electronics,3,Analytical Problem solver Innovative Creative Hardworking,"Music, Deep Learning, Machine Learning, AI","TensorFlow, React, Python, App Dev, Flask",Published Research Paper,Yes,I2IC
22212183,Emily Marshall,AI ML,3,Problem solver Innovative Creative Creative Analytical,"Art, Web Development, Sports","Keras, Java, CSS, HTML, SQL",Published Research Paper,Yes,GDSC
22215857,Alejandro Ho,Electronics,2,Passionate Motivated Hardworking Creative Hardworking,"Web Development, Robotics, Gaming","Web Dev, Python, Flask, Java, C++",Built Startup Prototype,No,Hackathon VIIT
22218372,Andrea Charles,Electronics,1,Hardworking Problem solver Motivated Passionate Passionate,"Machine Learning, Blockchain, Web Development","CSS, App Dev, C++, Kotlin, Flask",Won Hackathon,No,Researchers and Innovators
22212153,Madison Cook,IT,3,Innovative Innovative Creative Problem solver Team player,"AI, Deep Learning, Robotics, Art","TensorFlow, Kotlin, Keras, C++, Django",Built Startup Prototype,Yes,CyberCELL
22217924,James White,Mechanical,4,Hardworking Motivated Team player Team player Creative,"Robotics, Blockchain, Deep Learning","Kotlin, SQL, React, Keras, HTML",Published Research Paper,No,I2IC
22219669,Heather Murphy,Mechanical,2,Problem solver Creative Problem solver Team player Team player,"Web Development, Art","FLutter, TensorFlow, CSS, SQL, Keras",Won Hackathon,No,Hackathon VIIT
22211565,Tommy Smith,Civil,3,Innovative Motivated Problem solver Analytical Hardworking,"AI, Art","Python, HTML, TensorFlow, Web Dev, Keras",Interned at XYZ,Yes,GDSC
22218934,Sarah Peters,Computer Science,1,Analytical Innovative Innovative Hardworking Team player,"AI, Web Development, Robotics, Blockchain","FLutter, JavaScript, Django, Java, CSS",Won Hackathon,Yes,CyberCELL
22214466,Jasmin Long,Civil,2,Creative Problem solver Hardworking Analytical Passionate,"Music, Sports, AI, Deep Learning","CSS, Keras, React, Web Dev, C++",Built Startup Prototype,No,Hackathon VIIT
22213459,John Jackson,AI DS,1,Motivated Passionate Problem solver Creative Team player,"Gaming, Deep Learning, Machine Learning, Sports","Django, TensorFlow, JavaScript, C++, Java",Won Hackathon,No,Avishkar VIIT
22217572,Danny Alvarado,Civil,4,Hardworking Hardworking Analytical Hardworking Hardworking,"Gaming, Machine Learning, Art","Web Dev, Java, Kotlin, JavaScript, App Dev",Built Startup Prototype,No,GFG
22218374,Stephen Young,IT,2,Passionate Hardworking Passionate Innovative Problem solver,"Robotics, Sports, Gaming, Art","Keras, JavaScript, Web Dev, C++, React",Interned at XYZ,Yes,Robotics
22216013,Tina Berry,Mechanical,1,Motivated Analytical Motivated Problem solver Analytical,"Web Development, Deep Learning, Blockchain, AI","Web Dev, C++, Keras, Java, Kotlin",Built Startup Prototype,Yes,I2IC
22219058,Sandra Lara,CSE AI,3,Motivated Team player Creative Hardworking Hardworking,"Sports, Blockchain","Java, Flask, FLutter, HTML, JavaScript",Built Startup Prototype,Yes,CyberCELL
22219525,Lisa Washington,Civil,3,Motivated Hardworking Team player Motivated Innovative,"Machine Learning, Music, Sports, Web Development","CSS, Python, Web Dev, Django, React",Won Hackathon,Yes,GDSC
22211991,Mary Nielsen,AI DS,1,Analytical Motivated Hardworking Hardworking Hardworking,"Web Development, Sports","App Dev, Java, React, TensorFlow, Web Dev",Won Hackathon,No,I2IC
22217566,Christopher Cameron,CSE AI,4,Hardworking Team player Passionate Innovative Team player,"Web Development, Art, Gaming, Robotics","HTML, Django, Web Dev, Python, C++",Built Startup Prototype,No,Researchers and Innovators
22212933,Joshua Ramos,AI DS,3,Hardworking Analytical Analytical Team player Creative,"Web Development, Gaming, Deep Learning","C++, SQL, JavaScript, CSS, Python",Completed AI Project,Yes,EDC
22217225,Michelle Washington,CSE AI,3,Hardworking Analytical Innovative Creative Passionate,"Music, Machine Learning, AI","Flask, React, Web Dev, Python, Keras",Interned at XYZ,No,EDC
22215423,Sydney Michael,IT,2,Creative Innovative Analytical Creative Motivated,"Blockchain, Gaming, Machine Learning","SQL, Web Dev, Kotlin, TensorFlow, CSS",Built Startup Prototype,No,CyberCELL
22212522,Manuel Fields,Computer Science,3,Analytical Team player Problem solver Analytical Motivated,"Sports, Blockchain, Music, Art","Django, Python, CSS, Web Dev, React",Won Hackathon,No,Cisco VIIT
22212931,Justin Smith,AI DS,4,Team player Innovative Analytical Motivated Innovative,"Blockchain, AI, Deep Learning, Web Development","App Dev, CSS, FLutter, TensorFlow, SQL",Completed AI Project,No,GDSC
22215952,Makayla Sanchez,Computer Science,2,Problem solver Hardworking Passionate Analytical Innovative,"Gaming, Web Development, Machine Learning","TensorFlow, Python, FLutter, HTML, SQL",Completed AI Project,Yes,I2IC
22211353,James Brown,IT,1,Motivated Motivated Team player Team player Innovative,"Deep Learning, Sports","Web Dev, Keras, JavaScript, TensorFlow, HTML",Completed AI Project,Yes,GDSC
22213364,Tammy Welch,Computer Science,2,Analytical Motivated Team player Analytical Analytical,"Music, Blockchain, Web Development, AI","HTML, TensorFlow, CSS, Python, React",Published Research Paper,Yes,Avishkar VIIT
22213748,Robert Perkins,IT,3,Innovative Analytical Innovative Analytical Team player,"Gaming, AI","React, Kotlin, Keras, Web Dev, Java",Completed AI Project,No,Hackathon VIIT
22213714,Nicole Cochran,Mechanical,3,Hardworking Passionate Analytical Motivated Creative,"Machine Learning, Gaming, AI, Sports","Flask, Java, HTML, Python, Django",Interned at XYZ,Yes,GDSC
22215661,Sally Dean,AI ML,4,Creative Problem solver Team player Hardworking Hardworking,"Deep Learning, Sports, Gaming, Blockchain","Web Dev, Java, TensorFlow, Kotlin, Django",Published Research Paper,Yes,CyberCELL
22213420,Robert Ibarra,Electronics,3,Passionate Problem solver Motivated Hardworking Motivated,"Machine Learning, Robotics, Music","React, Kotlin, Django, Flask, App Dev",Interned at XYZ,Yes,EDC
22211662,Lacey Greene,AI DS,2,Innovative Passionate Hardworking Hardworking Motivated,"Robotics, Music","TensorFlow, Java, Web Dev, SQL, React",Published Research Paper,No,GDSC
22216318,William Gardner,AI ML,2,Problem solver Analytical Team player Creative Hardworking,"Gaming, Machine Learning","C++, Java, FLutter, Django, Flask",Built Startup Prototype,No,GFG
22217536,Heather Gentry,AI ML,2,Creative Problem solver Creative Team player Motivated,"Gaming, Sports, Robotics, Deep Learning","Python, Java, Django, React, TensorFlow",Built Startup Prototype,No,GFG
22214463,Victoria Martinez,AI ML,3,Problem solver Hardworking Creative Analytical Team player,"Sports, Blockchain, Art","TensorFlow, React, Flask, Django, HTML",Completed AI Project,Yes,I2IC
22211043,Amy Bernard,Electronics,2,Passionate Team player Hardworking Passionate Creative,"Robotics, Art, Gaming","Web Dev, Python, Kotlin, C++, SQL",Won Hackathon,Yes,I2IC
22216230,Kevin Kim,Computer Science,2,Team player Problem solver Hardworking Problem solver Passionate,"Art, Music, Deep Learning, AI","App Dev, Keras, CSS, Django, Java",Won Hackathon,No,Hackathon VIIT
